par_num,par_text,ents
1,"Предисловие Содержание шестого, заключительного тома «Истории российской внешней разведки» посвящено ее деятельности в 70-90-е годы прошлого столетия и в первые годы нового, XXI века",[]
2,"Пятый том очерков завершался событиями, связанными с началом периода разрядки в международных отношениях. Шестой том, повествуя о работе внешней разведки в 70-90-е годы, подводит черту под деятельностью разведки в советский период российской истории. В очерках этого тома рассказывается о начале постсоветского периода в жизни разведки, ее перестройке на демократических началах, о новых задачах и направлениях работы, важности добываемой ею информации в обеспечении внешней безопасности страны",[]
3,"Такое разнообразное по своему историческому осмыслению содержание тома создавало немалые трудности при его подготовке. Вероятно, могут возникнуть сложности и у читателя -ведь речь в томе идет о работе разведки на грани двух эпох, в один из переломных моментов российской и мировой истории",[]
4,"70-80-е годы -сложный, полный драматизма период отечественной истории, завершившийся исчезновением с политической карты мира великой державы -Советского Союза, политика которого в течение многих десятилетий была одним из определяющих факторов расстановки сил в мире",['Союз']
5,"Деятельность внешней разведки в эти годы, характер решавшихся ею задач, оперативная и информационно-аналитическая работа в соответствии с директивными указаниями руководства страны определялись особенностями развития международной обстановки и в первую очередь усилиями Советского Союза по обеспечению национальной безопасности страны, защите ее жизненных интересов на международной арене",['Советский Союз']
6,"Изменения в международных отношениях, последовавшие за дипломатическим разрешением карибского ракетного кризиса, кото-",[]
7,"рый поставил мир перед реальностью термоядерной войны, казалось, были надежно закреплены в таких основополагающих международно-правовых актах, как подписанный в августе 1975 года в Хельсинки Заключительный акт Совещания по безопасности и сотрудничеству в Европе, принятая ООН в 1977 году по инициативе Советского Союза Декларация об углублении и упрочении разрядки международной напряженности, а также в ряде двусторонних соглашений, подписанных Советским Союзом с ведущими капиталистическими странами в 60-70-е годы","['Рый', 'Хельсинки', 'Европа', 'Оон', 'Советский Союз']"
8,"С учетом проводившегося руководством страны курса на ослабление напряженности в международных отношениях внешняя разведка вносила определенные коррективы в свою работу. Не отказываясь от приобретения новых важных источников с целью получения достоверной информации о планах противников этого курса, она воздерживалась от проведения острых мероприятий, которые могли бы быть использованы ими для возвращения к политике конфронтации",[]
9,"Значительная часть активных мероприятий разведки в этот период была направлена на укрепление линии на мирное разрешение существующих противоречий, умножение числа ее сторонников среди политических и общественных кругов различных государств, разоблачение деятельности противников этой политики",[]
10,"Характеризуя конец острого периода в советско-американских отношениях, Дж. Кеннан, бывший посол США в СССР и один из видных разработчиков внешнеполитического курса США в отношении нашей страны, писал: «давление против разрядки никогда не прекращалось в Вашингтоне даже в ее наивысшей точке развития. Оно лишь сдерживалось мимолетным престижем и авторитетом Белого дома","['Дж', 'Кеннан', 'Сша', 'Ссср', 'Вашингтон', 'Белый Дом']"
